id,state,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,,,,,,,,,,,,,,,,,,,
CEL0561,0,0.0017805365,0.0003263654,0.0058025139,0.0019841865,0.0023555834,0.0011651449,0.0008189275,0.0006423915,0.0038916029,0.004309771,0.0006747437,0.0043164683,0.001333929,6.29808313531228E-05,0.0002198153,0.0952222948,0.0002365039,0.0004683127,0.0164999627,0.0006423915,0.0021798711,0.0335204414,0.0007180642,0.0035586144,0.003809617,5.56395254739018E-05,0.00023608,0.0015789788,0.0007624497,0.0007712541,0.0004033712,0.0013368896,0.0007068106,0.0031117263,0.0952222948,0.0010595847,0.0063595533,0.0058409855,0.001915195,0.004400144,0.0190576142,,,,,,,,,,,,,,,,,,,
JFC0557,0,9.47536529695691E-10,1.25372438348742E-06,2.45363767544263E-12,1.25051938798273E-06,2.59843412946692E-06,2.98250890564995E-06,0.000001385,0.000000543,2.78475372828934E-07,6.7084408917581E-05,1.24301085478263E-08,0.000000001,6.48826220205522E-07,1.37375771423023E-10,9.84584858926972E-07,9.19493070319562E-07,4.97898407759879E-11,3.31729675033395E-07,1.52054653617889E-06,8.44408689539882E-09,5.46426281529398E-16,4.38186803133413E-10,5.35525406981917E-09,1.65303687748938E-05,1.16816381677244E-10,5.51854277297653E-08,5.16995435398141E-12,9.89733485329555E-13,2.26175025970292E-08,8.24579981942251E-07,6.01323127565617E-08,0.000000174,1.17309524906412E-08,0.000001033,4.80218618193326E-07,4.42100888497303E-11,1.62668022913806E-06,2.05448312488677E-11,1.51751610586539E-07,3.25982024101791E-05,7.06820472265288E-07,,,,,,,,,,,,,,,,,,,
ASD0577,0,0.5303643725,0.1558441558,0.0453567199,0.0475785896,0.5303643725,1,0.3181818182,0.2597703049,0.0828729282,0.0459183673,0.5303643725,0.0828729282,0.5303643725,0.1295546559,0.0459183673,0.3181818182,0.5303643725,0.1558441558,0.1295546559,0.0475785896,0.3181818182,0.5303643725,0.0475785896,0.5303643725,0,0.2597703049,0.0634553417,0.5303643725,0.3181818182,0.2597703049,0.3181818182,0.0828729282,0.2597703049,0.0926033031,0.2597703049,0.0497237569,0.023303799,0.1558441558,0.0828729282,0.0459183673,0.0926033031,,,,,,,,,,,,,,,,,,,
MAR0955,1,0.0355504587,0.0818965517,0.3875,0.5099009901,0.1121782178,0.3875,0,0.3875,0.1121782178,0.5099009901,0.3875,0.3875,0.0355504587,0.3875,0.3875,0.3875,0.5099009901,0.5099009901,0.0025242623,0.3875,0.5099009901,1,0.3875,0.3875,0.5099009901,0,0.1121782178,0,0,0.3875,0,0.1121782178,0,0,0,0.3875,0.3875,0.5099009901,0.3875,1,0.0355504587,,,,,,,,,,,,,,,,,,,
GRM0868,0,0.0008291763,0.0018148857,0.004912378,0.0054166021,0.0148998033,0.0007274964,0.0119180083,0.0078407304,0.0025850429,0.0003664913,0.0010366299,0.0135128009,0.0071108474,0.0008486392,0.0007918352,0.0018752352,0.004912378,0.0269641647,0.0002911039,0.0035635246,0.0007918352,0.0035635246,4.19646471649449E-05,0.0005531871,0.0067717947,0.0009550482,0.0090783988,0.0244541073,0.0006031709,0.0195602753,0.0010395113,0.0090783988,0.004912378,0.0090783988,0.0067717947,0.0069153605,6.92071550725015E-05,0.0128684962,0.0052676923,0.0008142192,0.0013646574,,,,,,,,,,,,,,,,,,,
AAL0706,0,0.3943661972,0.1097560976,0.3943661972,0.0512996679,0.5162601626,0.5162601626,0.108898628,0.1097560976,1,0.0512996679,0.5162601626,0.5162601626,0.3943661972,0.108898628,0.3943661972,0.5162601626,0.0512996679,0.3943661972,0.5162601626,0.1054545455,0.5162601626,0.1097560976,0.0512996679,0.5162601626,0.0512996679,0.5162601626,0.108898628,0.5162601626,0.0512996679,0.5162601626,0.3943661972,0.3943661972,0.108898628,0.5162601626,0.108898628,0.1097560976,0.1097560976,0.3943661972,0.5162601626,0.3943661972,0.5162601626,,,,,,,,,,,,,,,,,,,
RVC0232,0,0.004165238,0,0.0040212468,0.0003988037,0.0665043762,0.0665043762,0.0398444079,0.0016117469,0.0665043762,0.0202686445,0.038115691,0.0010940701,0.0079996646,0.0260862522,0.004655502,0.0608587553,0.0186630731,0.0374887094,0.0005064162,0.0017769127,0.026877989,0.0309585344,0.0005946071,0.0058644424,0.0094352818,0.020143693,9.92853346218136E-05,0.0285061684,0.0019498733,0.0416515297,0.0021188351,0.1103182743,0.0416515297,0.0435406126,0.0022012791,0.0186630731,0.0079996646,0.0031665679,0.0245439694,0.101579463,0.0004104415,,,,,,,,,,,,,,,,,,,
TCD0009,0,0.0044129554,0.0049044546,0.0027991509,0.0028070512,0.0327983113,0.0149717131,0.0016066081,0.008569019,0.0149717131,0.0022324755,0.008569019,0.0049044546,0.0016392387,0.009595131,0.0003064764,0.0798532608,0.0028070512,0.0049044546,0.0017978927,0.0035460802,0.0261584425,0.0086335563,0.0106337896,0.0055331079,0.0055331079,0.0018154047,0.0149717131,0.0457037956,0.0009195377,0.0009382138,0.008569019,0.0011634638,1.1727829669825E-05,0.0261584425,0.0798532608,0.0511766754,0.0016066081,0.008569019,0.0055331079,0.0210199122,0.0028070512,,,,,,,,,,,,,,,,,,,
ASM0575,0,0.0629000629,0.210287875,0.2861952862,0.0444444444,0.0407000407,0.7005347594,0.7005347594,0.0826210826,0.2861952862,0.3249903523,0.0629000629,0.7005347594,0.210287875,0.6470588235,0.0859106529,0.0773195876,0.0888888889,0.0773195876,0.0594766059,0.7005347594,0.0019650237,0.008424037,0.7005347594,0.7005347594,0.7005347594,0.7005347594,0.1327710091,0.0199095023,0.0256611362,0.0051927181,0.2861952862,0.0009841659,0.0444444444,0.0188814622,0.0575163399,0.7005347594,0.1230769231,0.7005347594,0.2861952862,0.4532871972,0.0938207442,,,,,,,,,,,,,,,,,,,
JLM0364,1,2.07844680566512E-05,1.56408634573515E-07,1.60422957211243E-06,7.29884161154779E-05,0.0211021148,0.0002563463,0.0139739387,1.18743523033237E-06,7.71677016864786E-06,0.0015696089,0.0029431904,0.0139739387,0.001622487,4.25321008123657E-07,2.12708892497806E-08,5.29476447915922E-08,0.0010012656,0.0003487393,0.0002828849,1.50861708335939E-09,5.00058784263215E-05,0.000194091,0.0045261582,0.0008533296,3.08067660799862E-06,0.0005786741,0.0003924022,9.25525615719186E-07,0.0001543868,3.25750788316339E-07,9.06646647334431E-06,0.0045705195,4.93075015550549E-06,0.0079528773,1.85393391920377E-08,0.0005698424,0.0002425282,0.0103163306,0.0014803911,0.0007442743,1.27303526754507E-07,,,,,,,,,,,,,,,,,,,
