id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,state
JFC0557,0,0,5,1,7,3,1,1,0,0,5,1,7,3,2,1,0,0,16,1,13,4,5,1,0,0,2,1,1,1,0,0,0,0,0,0,1,1,1,1,0
MAR0955,5,1,1,1,0,0,8,8,5,1,1,1,0,0,8,8,24,24,0,0,0,0,24,24,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1
FOB0756,0,0,2,1,2,1,0,0,0,0,2,1,2,1,0,0,0,0,8,1,7,1,0,0,0,0,3,1,2,1,0,0,0,0,1,1,2,1,0,0,0
QOS0878,0,0,3,1,4,1,0,0,0,0,3,1,4,1,0,0,0,0,4,1,6,1,0,0,0,0,3,1,2,1,0,0,0,0,1,1,2,1,0,0,0
MDM0625,0,0,9,3,9,4,0,0,0,0,9,3,9,4,0,0,0,0,27,8,27,11,0,0,0,0,3,1,2,1,0,0,0,0,1,1,2,1,0,0,0
MAS0025,5,1,0,0,0,0,1,1,5,1,0,0,0,0,1,1,20,16,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
GHL0460,4,4,1,1,0,0,0,0,4,4,1,1,0,0,0,0,22,22,0,0,0,0,0,0,1,1,2,1,0,0,1,1,1,1,1,1,1,1,1,1,1
FMG0527,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,11,11,0,0,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1
HCL0651,0,0,3,1,4,1,3,1,0,0,3,1,4,1,3,1,0,0,7,1,8,1,11,1,0,0,2,1,2,1,1,1,0,0,1,1,1,1,2,1,0
SCP0130,0,0,4,1,4,1,1,1,0,0,3,1,4,1,1,1,0,0,13,1,11,1,7,7,0,0,2,1,1,1,0,0,0,0,1,1,2,1,2,1,0
RSC0089,0,0,9,4,10,4,4,1,0,0,9,4,10,4,4,1,0,0,9,1,11,1,4,1,1,1,3,1,3,1,1,1,1,1,2,1,3,1,1,1,0
CCM0136,0,0,2,1,2,1,0,0,0,0,2,1,2,1,1,1,0,0,7,1,6,1,0,0,0,0,3,1,2,1,1,1,0,0,1,1,2,1,2,1,0
VCC0396,0,0,4,1,4,1,3,1,0,0,4,1,4,1,3,1,0,0,10,1,12,1,7,1,1,1,3,1,2,1,1,1,1,1,1,1,1,1,2,1,0
WDD0366,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,2,4,1,5,1,3,1,5,1,4,1,4,1,3,1,5,1,1
VIA0063,0,0,9,3,9,5,2,1,0,0,9,3,9,5,2,1,0,0,27,7,27,17,7,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0
BIH0745,3,2,2,2,0,0,3,3,3,2,2,2,0,0,3,3,13,13,0,0,0,0,13,13,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
LIM0674,0,0,2,1,2,1,1,1,0,0,2,1,2,1,1,1,0,0,7,1,8,2,4,3,1,1,3,1,2,1,1,1,1,1,1,1,2,1,1,1,0
ILH0958,0,0,3,1,2,1,0,0,0,0,3,1,2,1,0,0,0,0,27,27,27,27,0,0,0,0,4,2,2,1,0,0,0,0,2,1,3,1,0,0,0
FEB0306,0,0,2,1,3,1,1,1,0,0,2,1,3,1,1,1,0,0,10,2,12,4,11,1,0,0,3,1,2,1,1,1,0,0,1,1,2,1,2,1,0
IJM0776,0,0,6,1,4,1,0,0,0,0,5,1,4,1,0,0,0,0,5,1,7,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1
SBH0537,0,0,2,1,2,1,0,0,0,0,2,1,2,1,0,0,0,0,12,2,11,3,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,1,1,0
HAH0760,0,0,4,1,4,1,0,0,0,0,4,1,4,1,0,0,0,0,13,2,13,2,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,0,0,0
AHD0848,0,0,2,1,3,1,1,1,0,0,2,1,2,1,2,1,0,0,4,2,9,3,8,1,0,0,2,1,2,1,1,1,0,0,1,1,1,1,2,1,0
AJN0607,0,0,4,1,4,2,0,0,0,0,4,1,4,2,0,0,0,0,8,1,11,1,0,0,0,0,3,1,2,1,0,0,0,0,1,1,2,1,0,0,0
EIS0041,5,1,6,1,3,1,4,1,5,1,6,1,3,1,4,1,21,7,19,1,14,1,23,8,5,1,4,1,4,1,4,1,5,1,3,1,3,1,5,1,0
LJT0817,0,0,4,1,3,1,3,1,0,0,4,1,3,1,3,1,0,0,12,1,15,1,12,1,0,0,3,1,2,1,1,1,0,0,1,1,1,1,2,1,0
BDI0533,0,0,4,1,3,1,0,0,0,0,4,1,4,1,0,0,0,0,12,1,14,2,0,0,0,0,2,1,2,1,0,0,0,0,1,1,2,1,0,0,0
MGS0974,0,0,2,1,2,1,0,0,0,0,2,1,2,1,0,0,0,0,8,1,8,2,0,0,0,0,2,1,1,1,0,0,0,0,1,1,2,1,1,1,0
BMT0528,0,0,3,1,5,1,0,0,0,0,3,1,5,1,0,0,0,0,13,1,14,3,0,0,0,0,2,1,1,1,0,0,0,0,1,1,2,1,0,0,0
GCS0571,0,0,2,1,2,1,2,2,0,0,2,1,2,1,2,1,0,0,10,7,12,5,5,4,0,0,2,1,2,1,1,1,0,0,1,1,1,1,2,1,0
BJP0134,0,0,10,3,10,5,0,0,0,0,10,3,10,5,1,1,0,0,27,6,27,15,6,2,0,0,2,1,1,1,0,0,0,0,1,1,2,1,1,1,0
RRP0568,0,0,3,1,3,1,0,0,0,0,2,1,3,1,1,1,0,0,12,3,15,2,0,0,0,0,3,1,2,1,0,0,0,0,1,1,1,1,1,1,0
